市町村コード,都道府県名及び市町村名,NO,施設・場所名,住所,洪水,崖崩、土石流及び地滑,高潮,地震,津波,大規模火災,内水氾濫,火山現象,指定避難所との住所同一,緯度,経度,備考
14100,神奈川県横浜市,1576,横浜市立南小学校　校舎３,神奈川県横浜市南区中里1-6-16,1,1,1,1,,,,,1,35.41908,139.599255,
14100,神奈川県横浜市,1577,横浜市立南小学校　校舎５,神奈川県横浜市南区中里1-6-16,1,1,1,1,,,,,1,35.419111,139.598697,
14100,神奈川県横浜市,1578,横浜市立南小学校　校舎９,神奈川県横浜市南区中里1-6-16,1,1,1,1,,,,,1,35.418744,139.598895,
14100,神奈川県横浜市,1579,横浜市立南小学校　体育館,神奈川県横浜市南区中里1-6-16,1,1,1,1,,,,,1,35.418701,139.599383,
14100,神奈川県横浜市,1580,横浜市立共進中学校　体育館,神奈川県横浜市南区東蒔田町1-5,1,1,,1,1,,,,1,35.432692,139.617358,
14100,神奈川県横浜市,1581,横浜市立共進中学校　校舎１５－１,神奈川県横浜市南区東蒔田町1-5,1,1,1,1,1,,,,1,35.432652,139.616854,
14100,神奈川県横浜市,1582,横浜市立共進中学校　校舎１５－２,神奈川県横浜市南区東蒔田町1-5,1,1,1,1,1,,,,1,35.432871,139.617117,
14100,神奈川県横浜市,1583,横浜市立南太田小学校　校舎１－１,神奈川県横浜市南区南太田1-17-1,1,1,1,1,1,1,,,1,35.435387,139.611351,
14100,神奈川県横浜市,1584,横浜市立南太田小学校　体育館,神奈川県横浜市南区南太田1-17-1,1,1,1,1,1,1,,,1,35.435491,139.610922,
14100,神奈川県横浜市,1585,横浜市立平楽中学校　校舎１４,神奈川県横浜市南区平楽1,1,1,1,1,,,,,1,35.431343,139.633327,
14100,神奈川県横浜市,1586,横浜市立平楽中学校　体育館,神奈川県横浜市南区平楽1,1,1,1,1,,,,,1,35.431701,139.633456,
14100,神奈川県横浜市,1587,南が丘中学校体育館６,神奈川県横浜市南区別所3-6-1,1,,1,1,,,,,1,35.41416962,139.5908998,
14100,神奈川県横浜市,1588,横浜市立南が丘中学校　校舎７,神奈川県横浜市南区別所3-6-1,1,1,1,1,,,,,1,35.413436,139.590487,
14100,神奈川県横浜市,1589,横浜市立南が丘中学校　校舎１３,神奈川県横浜市南区別所3-6-1,1,,1,1,,,,,1,35.413872,139.591066,
14100,神奈川県横浜市,1590,横浜市立南が丘中学校　校舎１２,神奈川県横浜市南区別所3-6-1,1,1,1,1,,,,,1,35.413895,139.590449,
14100,神奈川県横浜市,1591,横浜市立南が丘中学校　校舎１０,神奈川県横浜市南区別所3-6-1,1,1,1,1,,,,,1,35.413794,139.590604,
14100,神奈川県横浜市,1592,横浜市立別所小学校　体育館,神奈川県横浜市南区別所6-3-1,1,1,1,1,,,,,1,35.416932,139.582259,
14100,神奈川県横浜市,1593,横浜市立別所小学校　校舎１,神奈川県横浜市南区別所6-3-1,1,1,1,1,,,,,1,35.417031,139.581787,
14100,神奈川県横浜市,1594,横浜市立南中学校　校舎１７,神奈川県横浜市南区六ツ川1-14,1,,1,1,,,,,1,35.427006,139.59736,
14100,神奈川県横浜市,1595,横浜市立南中学校　校舎２６,神奈川県横浜市南区六ツ川1-14,1,1,1,1,,,,,1,35.426363,139.597092,
14100,神奈川県横浜市,1596,横浜市立南中学校　体育館,神奈川県横浜市南区六ツ川1-14,1,1,1,1,,,,,1,35.427028,139.596598,
14100,神奈川県横浜市,1597,横浜市立南中学校　校舎６,神奈川県横浜市南区六ツ川1-14,1,,1,1,,,,,1,35.426669,139.597398,
